編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"263","113/08/06","6640","均華","113/08/07~113/08/20","最近10個營業日內有6個營業日","均華精密工業股份有限公司股票(代號：6640)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自113年08月07日起10個營業日(113年08月07日至113年08月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","705.00","88.01"
"264","113/08/05","2924","宏太-KY","113/08/06~113/08/19","因連續3個營業日達本中心作業要點第四條第一項第一款","開曼群島宏太股份有限公司股票(代號：2924)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年08月06日起10個營業日(113年08月06日至113年08月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每10分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","35.30","N/A"
"265","113/08/02","6199","天品","113/08/05~113/08/16","因連續3個營業日達本中心作業要點第四條第一項第一款","天品聯合企業股份有限公司股票(代號：6199)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年08月05日起10個營業日(113年08月05日至113年08月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","48.20","146.06"
"266","113/08/02","68691","雲豹能源一","113/08/05~113/08/16","因連續3個營業日達本中心作業要點第四條第一項第一款","雲豹能源科技股份有限公司國內第一次有擔保轉換公司債(代號：68691)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年08月05日起10個營業日(113年08月05日至113年08月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","250.00","N/A"
"267","113/08/01","99061","欣巴巴一","113/08/02~113/08/15","因連續3個營業日達本中心作業要點第四條第一項第一款","欣巴巴事業股份有限公司國內第一次有擔保轉換公司債(代號：99061)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年08月02日起10個營業日(113年08月02日至113年08月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","430.00","N/A"
"268","113/08/01","99062","欣巴巴二","113/08/02~113/08/15","因連續3個營業日達本中心作業要點第四條第一項第一款","欣巴巴事業股份有限公司國內第二次無擔保轉換公司債(代號：99062)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年08月02日起10個營業日(113年08月02日至113年08月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","240.00","N/A"
"269","113/07/30","3228","金麗科","113/07/31~113/08/13","因連續3個營業日達本中心作業要點第四條第一項第一款","金麗科技股份有限公司股票(代號：3228)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月31日起10個營業日(113年07月31日至113年08月13日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","276.50","N/A"
"270","113/07/30","6228","全譜","113/07/31~113/08/13","因連續3個營業日達本中心作業要點第四條第一項第一款","全譜科技股份有限公司股票(代號：6228)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月31日起10個營業日(113年07月31日至113年08月13日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","72.70","N/A"
"271","113/07/29","8085","福華","113/07/30~113/08/12","因連續3個營業日達本中心作業要點第四條第一項第一款","福華電子股份有限公司股票(代號：8085)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月30日起10個營業日(113年07月30日至113年08月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","44.20","N/A"
"272","113/07/26","6144","得利影","113/07/29~113/08/09","因連續3個營業日達本中心作業要點第四條第一項第一款","得利影視股份有限公司股票(代號：6144)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月29日起10個營業日(113年07月29日至113年08月09日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","89.50","N/A"
"273","113/07/23","8089","康全電訊","113/07/24~113/08/06","連續5個營業日","康全電訊股份有限公司股票(代號：8089)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自113年07月24日起10個營業日(113年07月24日至113年08月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","116.00","N/A"
"274","113/07/23","99061","欣巴巴一","113/07/24~113/08/06","最近10個營業日內有6個營業日","欣巴巴事業股份有限公司國內第一次有擔保轉換公司債(代號：99061)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自113年07月24日起10個營業日(113年07月24日至113年08月06日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","330.00","N/A"
"275","113/07/22","3073","天方能源","113/07/23~113/08/05","因連續3個營業日達本中心作業要點第四條第一項第一款","天方能源科技股份有限公司股票(代號：3073)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月23日起10個營業日(113年07月23日至113年08月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","112.00","N/A"
"276","113/07/22","6692","進能服","113/07/23~113/08/05","因連續3個營業日達本中心作業要點第四條第一項第一款","進金生能源服務股份有限公司股票(代號：6692)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月23日起10個營業日(113年07月23日至113年08月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","59.80","N/A"
"277","113/07/19","6492","生華科","113/07/22~113/08/02","因連續3個營業日達本中心作業要點第四條第一項第一款","生華生物科技股份有限公司股票(代號：6492)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月22日起10個營業日(113年07月22日至113年08月02日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","58.10","N/A"
"278","113/07/17","3379","彬台","113/07/18~113/07/31","最近10個營業日內有6個營業日","彬台科技股份有限公司股票(代號：3379)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自113年07月18日起10個營業日(113年07月18日至113年07月31日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","47.50","N/A"
"279","113/07/17","4804","大略-KY","113/07/18~113/07/31","因連續3個營業日達本中心作業要點第四條第一項第一款","大略國際控股有限公司股票(代號：4804)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月18日起10個營業日(113年07月18日至113年07月31日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每45分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","5.65","N/A"
"280","113/07/15","3363","上詮","113/07/16~113/07/29","連續5個營業日","上詮光纖通信股份有限公司股票(代號：3363)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自113年07月16日起10個營業日(113年07月16日至113年07月29日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","170.00","N/A"
"281","113/07/12","30477","訊舟七","113/07/15~113/07/26","因連續3個營業日達本中心作業要點第四條第一項第一款","訊舟科技股份有限公司國內第七次有擔保轉換公司債(代號：30477)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月15日起10個營業日(113年07月15日至113年07月26日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","368.00","N/A"
"282","113/07/12","4510","高鋒","113/07/15~113/07/26","因連續3個營業日達本中心作業要點第四條第一項第一款","高鋒工業股份有限公司股票(代號：4510)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月15日起10個營業日(113年07月15日至113年07月26日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","29.60","28.74"
"283","113/07/11","30477","訊舟七","113/07/12~113/07/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司訊舟科技股份有限公司股票(代號：3047)因最近10個營業日內有6個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對訊舟科技股份有限公司國內第七次有擔保轉換公司債(代號：30477)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。惟訊舟科技股份有限公司國內第七次有擔保轉換公司債前經本中心發布處置，其中113年7月12日至113年7月23日(如遇休市、有價證券停止買賣、全日暫停交易則順延執行)仍應改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","275.00","N/A"
"284","113/07/11","6187","萬潤","113/07/12~113/07/25","連續5個營業日","萬潤科技股份有限公司股票(代號：6187)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","316.00","91.59"
"285","113/07/11","61874","萬潤四","113/07/12~113/07/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","萬潤科技股份有限公司股票(代號：6187)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對萬潤科技股份有限公司國內第四次無擔保轉換公司債（代號：61874）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","275.00","N/A"
"286","113/07/11","61875","萬潤五","113/07/12~113/07/25","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","萬潤科技股份有限公司股票(代號：6187)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對萬潤科技股份有限公司國內第五次無擔保轉換公司債（代號：61875）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","133.00","N/A"
"287","113/07/11","6218","豪勉","113/07/12~113/07/25","因連續3個營業日達本中心作業要點第四條第一項第一款","豪勉科技股份有限公司股票(代號：6218)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","36.85","N/A"
"288","113/07/11","8937","合騏","113/07/12~113/07/25","因連續3個營業日達本中心作業要點第四條第一項第一款","合騏工業股份有限公司股票(代號：8937)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月12日起10個營業日(113年07月12日至113年07月25日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","34.85","67.02"
"289","113/07/10","6231","系微","113/07/11~113/07/24","最近10個營業日內有6個營業日","系微股份有限公司股票(代號：6231)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自113年07月11日起10個營業日(113年07月11日至113年07月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","523.00","87.90"
"290","113/07/10","8906","花王","113/07/11~113/07/24","最近10個營業日內有6個營業日","花王企業股份有限公司股票(代號：8906)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自113年07月11日起10個營業日(113年07月11日至113年07月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","58.20","N/A"
"291","113/07/09","30477","訊舟七","113/07/10~113/07/23","因連續3個營業日達本中心作業要點第四條第一項第一款","訊舟科技股份有限公司國內第七次有擔保轉換公司債(代號：30477)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月10日起10個營業日(113年07月10日至113年07月23日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","344.00","N/A"
"292","113/07/09","4510","高鋒","113/07/10~113/07/23","因連續3個營業日達本中心作業要點第四條第一項第一款","高鋒工業股份有限公司股票(代號：4510)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月10日起10個營業日(113年07月10日至113年07月23日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","26.00","25.24"
"293","113/07/08","24866","一詮六","113/07/09~113/07/22","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司一詮精密工業股份有限公司股票(代號：2486)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自113年07月09日起10個營業日(113年07月09日至113年07月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對一詮精密工業股份有限公司國內第六次無擔保轉換公司債（代號：24866）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","134.70","N/A"
"294","113/07/08","5345","天揚","113/07/09~113/07/22","因連續3個營業日達本中心作業要點第四條第一項第一款","天揚精密科技股份有限公司股票(代號：5345)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月09日起10個營業日(113年07月09日至113年07月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每25分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","29.90","N/A"
"295","113/07/05","3492","長盛","113/07/08~113/07/19","因連續3個營業日達本中心作業要點第四條第一項第一款","長盛科技股份有限公司股票(代號：3492)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月08日起10個營業日(113年07月08日至113年07月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","31.50","31.50"
"296","113/07/05","4534","慶騰","113/07/08~113/07/19","因連續3個營業日達本中心作業要點第四條第一項第一款","慶騰精密科技股份有限公司股票(代號：4534)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月08日起10個營業日(113年07月08日至113年07月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","30.35","N/A"
"297","113/07/05","81042","錸寶二","113/07/08~113/07/19","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司錸寶科技股份有限公司股票(代號：8104)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自113年07月08日起10個營業日(113年07月08日至113年07月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對錸寶科技股份有限公司國內第二次無擔保轉換公司債（代號：81042）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","101.50","N/A"
"298","113/07/04","30477","訊舟七","113/07/05~113/07/18","因連續3個營業日達本中心作業要點第四條第一項第一款","訊舟科技股份有限公司國內第七次有擔保轉換公司債(代號：30477)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月05日起10個營業日(113年07月05日至113年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","290.00","N/A"
"299","113/07/04","4304","勝昱","113/07/05~113/07/18","因連續3個營業日達本中心作業要點第四條第一項第一款","勝昱科技股份有限公司股票(代號：4304)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月05日起10個營業日(113年07月05日至113年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每60分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","10.70","N/A"
"300","113/07/04","65931","台灣銘板一","113/07/05~113/07/18","因連續3個營業日達本中心作業要點第四條第一項第一款","台灣銘板股份有限公司國內第一次有擔保轉換公司債(代號：65931)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月05日起10個營業日(113年07月05日至113年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","298.00","N/A"
"301","113/07/04","8440","綠電","113/07/05~113/07/18","因連續3個營業日達本中心作業要點第四條第一項第一款","綠電再生股份有限公司股票(代號：8440)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月05日起10個營業日(113年07月05日至113年07月18日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","58.50","75.00"
"302","113/07/03","1784","訊聯","113/07/04~113/07/17","因連續3個營業日達本中心作業要點第四條第一項第一款","訊聯生物科技股份有限公司股票(代號：1784)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年07月04日起10個營業日(113年07月04日至113年07月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","133.00","85.26"
